Title,Link,Runtime (minutes),Genres,Years,Src,About
Crackerjack!,https://www.imdb.com/title/tt0195452/,45,"Comedy, Family, Game-Show",1955-2021,"https://m.media-amazon.com/images/M/MV5BY2MyZWEwMGEtMjYwMi00YTA1LThlOWUtYzM5OTYxMDU1MjgwXkEyXkFqcGdeQXVyNjY5MjkxMzE@._V1_UY209_CR126,0,140,209_AL_.jpg","The shows were broadcast live in front of an audience largely of children, originally at the King's Theatre on Hammersmith Road until 1963, then at the BBC Television Theatre (now the ... See full summary » "
Jonny Briggs,https://www.imdb.com/title/tt0088546/,20,Family,1985-1987,"https://m.media-amazon.com/images/M/MV5BNzdjZWM5NzUtNmRjZi00MzQxLWJkMTEtZDI0NjkxZmIyMzhkXkEyXkFqcGdeQXVyNjY1NTA5NTg@._V1_UX140_CR0,0,140,209_AL_.jpg","Jonny Briggs centers on the exploits of a young boy, the eponymous hero (played by Richard Holian), his pet dog, Razzle, and his eccentric family members. "
Rentaghost,https://www.imdb.com/title/tt0074045/,25,"Comedy, Family, Fantasy",1976-1984,"https://m.media-amazon.com/images/M/MV5BMTIzNjE2NDgwN15BMl5BanBnXkFtZTcwMzA2MDcxMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg","After his death, Fred Mumford wants a second chance at achieving the success that eluded him in life. Coming back to Earth as a spirit, he recruits a Victorian gent and a medieval jester to set up ""Rentaghost"". "
Cloppa Castle,https://www.imdb.com/title/tt0369090/,11,Family,1978-1979,"https://m.media-amazon.com/images/M/MV5BMjEyNjM0NTAyOF5BMl5BanBnXkFtZTcwNzEyMDcyMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","String-puppet series about the Byegones, who live in a medieval fort, and their enemies the Hasbeenes, who are determined to take control of Cloppa Castle. "
Grange Hill,https://www.imdb.com/title/tt0075512/,30,"Comedy, Drama, Family",1978-2008,"https://m.media-amazon.com/images/M/MV5BMjE3Njk2ODkyOF5BMl5BanBnXkFtZTcwNjQ1ODc4Mw@@._V1_UY209_CR3,0,140,209_AL_.jpg","The long running television series of the Grange Hill Comprehensive School, and the children's everyday lives. "
Take Hart,https://www.imdb.com/title/tt0303543/,30,Family,1977-1983,"https://m.media-amazon.com/images/M/MV5BOTNiM2Q0NmYtNTMxYS00NjJkLThkZDgtNjg1ODYwY2ZlODFjXkEyXkFqcGdeQXVyNjIzNzc4NDE@._V1_UY209_CR87,0,140,209_AL_.jpg",Host Tony Hart demonstrates various art projects along with cartoon sequences. 
Play Away,https://www.imdb.com/title/tt0273380/,,"Comedy, Family, Music",1971-1984,"https://m.media-amazon.com/images/M/MV5BODIzZGE5ZmYtZDgxZi00MDgyLWFkMDItNmRmMzBkODE4MDc5XkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR38,0,140,209_AL_.jpg","Songs, jokes and sketches with Brian Cant and the Play Away crew. "
Bric-A-Brac,https://www.imdb.com/title/tt0428095/,,Family,1980-,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,A children's TV series in which each episode is centred around a different letter of the alphabet.The old bloke who owns the shop rummages around to find things in the junk that start with that letter. 
Screen Test,https://www.imdb.com/title/tt0403803/,30,"Family, Game-Show",1970-1984,"https://m.media-amazon.com/images/M/MV5BNWY5NDI0OTItYTJmOC00ZTFlLTg1ZmUtMDk0Y2RlNDljYmUzXkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR103,0,140,209_AL_.jpg","Quiz show for children, where they are asked a selection of observational questions on various films. "
Wide Awake Club,https://www.imdb.com/title/tt0295140/,,Family,1984-1989,"https://m.media-amazon.com/images/M/MV5BZGNlOGExMGEtMDdkZS00ZDU5LWE3NGUtMTk2YjQxZWNjNWI2XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UY209_CR2,0,140,209_AL_.jpg","A variety show for children featuring comedy sketches, team challenges, celebrity guests and competitions. "
"Scooby Doo, Where Are You!",https://www.imdb.com/title/tt0063950/,22,,1969-1970,"https://m.media-amazon.com/images/M/MV5BN2EyMmIyMWItZTRiYy00MmE1LTkyOTAtMTliMzYwZGJlYmFjXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg","A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function. "
Hong Kong Phooey,https://www.imdb.com/title/tt0070996/,22,,1974-1975,"https://m.media-amazon.com/images/M/MV5BZGJmOGU5YTMtNTA2MS00ZmQ0LThmNjMtYTQ2NTUyYjc3Y2VjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR6,0,140,209_AL_.jpg",A kung-fu-fighting pup and his snickering cat sidekick battle crime. 
Scooby-Doo and Scrappy-Doo,https://www.imdb.com/title/tt0083475/,30,,1979-1983,"https://m.media-amazon.com/images/M/MV5BMWUwZjVmNWItNWZlZS00MGUxLWExNzMtYTZlNTZlMGNkZTIwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR4,0,140,209_AL_.jpg",The adventures of the mystery solving dog and his nephew. 
The Flintstones,https://www.imdb.com/title/tt0053502/,26,,1960-1966,"https://m.media-amazon.com/images/M/MV5BZmYxZjE2MDYtYTQ2OC00NmUwLTkzNDEtNjFkZmEyM2E5ODBmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY209_CR8,0,140,209_AL_.jpg","The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles. "
Godzilla,https://www.imdb.com/title/tt0177814/,30,,1978-1980,"https://m.media-amazon.com/images/M/MV5BNDAxOGEzODQtYWUwZi00MDAwLWFiZTktNTQ1YjllMDk4YjIyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR16,0,140,209_AL_.jpg","The crew of the research vessel, The Calico, investigate strange phenomena and often meet menaces that force them to summon Godzilla to help. "
The New Shmoo,https://www.imdb.com/title/tt0292415/,,"Animation, Adventure, Comedy",1979-1980,"https://m.media-amazon.com/images/M/MV5BNDgwZjM2ZTctMDg1My00ZjVkLTgwZjItOGJmYzJhODBjNmQ3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR1,0,140,209_AL_.jpg",A bizarre but lovable shapeshifting creature and his young comic book creator friends investigate reports of the paranormal. 
Wacky Races,https://www.imdb.com/title/tt0122365/,30,,1968-1970,"https://m.media-amazon.com/images/M/MV5BZGFiZjIwNTQtN2QzMC00Yjc3LTkyMjgtOGIwZDAwZTA4YzIxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR3,0,140,209_AL_.jpg",The participants of an unusual car race compete around America. 
The Perils of Penelope Pitstop,https://www.imdb.com/title/tt0173587/,30,,1969-1971,"https://m.media-amazon.com/images/M/MV5BNTE0OWM2ZWItYjY5OS00NzhhLWI2YzUtZjFiNTg4N2FhMjBhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR4,0,140,209_AL_.jpg",The Ant Hill Mob has to protect Penelope Pitstop from a murderous lawyer who is after her inheritance. 
Thunderbirds,https://www.imdb.com/title/tt0057790/,50,,1965-1966,"https://m.media-amazon.com/images/M/MV5BMDE5MmQyNDEtOWZiYy00MzRjLTk0Y2EtMjkyNWEwNTkxNTBjXkEyXkFqcGdeQXVyNDA3MDAwOQ@@._V1_UY209_CR4,0,140,209_AL_.jpg","In the year 2026, the Tracy family run International Rescue - a top-secret organization whose ongoing mission is to rescue people trapped in extraordinarily dangerous situations using their advanced Thunderbirds machines. "
Stingray,https://www.imdb.com/title/tt0057786/,30,"Animation, Action, Adventure",1964-1965,"https://m.media-amazon.com/images/M/MV5BNmZmYzNlZGYtN2I5ZC00YWY3LWExMDAtNjVjMzVhM2E0NTUxXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY209_CR4,0,140,209_AL_.jpg","Follows the adventures of the World Aquanaut Security Patrol, particularly the crew of its most advanced combat submarine called Stingray. "
Terrahawks,https://www.imdb.com/title/tt0085099/,23,,1983-1986,"https://m.media-amazon.com/images/M/MV5BNjRlMzQ0YmItZjRjYi00NjkxLTg2MDYtMzgyMmViN2RhNWI5XkEyXkFqcGdeQXVyNDA3MDAwOQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",The missions of a planetary defense organization dedicated to protecting Earth from a Martian menace. 
Battle of the Planets,https://www.imdb.com/title/tt0076983/,30,,1978-1980,"https://m.media-amazon.com/images/M/MV5BMWYwNTg3YjItMTAyOC00OWEzLWE4MjMtNjEzNjY2OTQ4MTIyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",A five-member superhero team called G-Force fights to defend Earth and its space colonies from the threat of the planet Spectra. 
Muppet Babies,https://www.imdb.com/title/tt0086764/,25,,1984-1991,"https://m.media-amazon.com/images/M/MV5BNTA4ZjI2MzQtYzA3Mi00ZmI0LTg0OWEtMmU4ZTIxYWUyOTYzXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_UX140_CR0,0,140,209_AL_.jpg","The Muppets, as babies, have adventures with their imaginations inside their nursery. "
The Pink Panther Show,https://www.imdb.com/title/tt0063939/,90,,1969-2011,"https://m.media-amazon.com/images/M/MV5BZDI2NmJmMjEtNTY2Zi00OTJhLTkyOTItZmM1MDIyOTIyYmE5XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg","A classy, resourceful panther has plenty of hilarious misadventures, outwitting those who annoy him with his clever tricks. "
Fingerbobs,https://www.imdb.com/title/tt0823161/,15,"Animation, Family",1972,"https://m.media-amazon.com/images/M/MV5BZGM0YjAzYjAtZDFkMC00YjhlLTk4NzQtZGIwMWNlYzA0MjE5XkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR3,0,140,209_AL_.jpg","Charming finger puppet series with Yoffy (Jones) telling stories featuring Fingermouse, Scampi, Gulliver the Seagull, and other animal characters. "
Fingermouse,https://www.imdb.com/title/tt0825518/,15,Family,1985-,"https://m.media-amazon.com/images/M/MV5BOWFlMDNiYmYtMjNmYS00Y2MwLTg0OGItZmZiZTI5MGJmY2RkXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_UY209_CR60,0,140,209_AL_.jpg","Features Fingermouse learning about different musical instruments from The Music Man, as well as having adventures with other paper finger-puppets. "
Help!... It's the Hair Bear Bunch!,https://www.imdb.com/title/tt0066667/,30,,1971-1972,"https://m.media-amazon.com/images/M/MV5BNDZkZGE4OGEtYWExNC00YTUzLWIyMGItMzU5MzhlMDIwODBmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR3,0,140,209_AL_.jpg",Animated series centering on three bears who live in a zoo. Every now and then they try to sneak out of the zoo. So the zoo keeper and his assistant try to stop them or apprehend them when ... See full summary » 
Danger Mouse,https://www.imdb.com/title/tt0081848/,25,,1981-1992,"https://m.media-amazon.com/images/M/MV5BZDQ0NjJmNWEtY2QzZS00OTgzLThmMTItZTM0MzQ0NDcwZmE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR7,0,140,209_AL_.jpg","Danger Mouse, the greatest secret agent in the world, must follow Colonel K's orders (and try not to break Professor Squawkencluck's inventions) to foil Baron Greenback's and his henchman Stiletto's plans. "
Bananaman,https://www.imdb.com/title/tt0084980/,5,"Animation, Action, Adventure",1983-1986,"https://m.media-amazon.com/images/M/MV5BMTkxMTYzMjczN15BMl5BanBnXkFtZTcwOTIyMDcyMQ@@._V1_UY209_CR5,0,140,209_AL_.jpg","Stupid, but well-meaning and super-strong super-hero, Bananaman gets his strength from eating bananas. Before he eats a banana, Bananaman is a young boy called Eric who is keen to keep his ... See full summary » "
Inspector Gadget,https://www.imdb.com/title/tt0085033/,30,,1983-1986,"https://m.media-amazon.com/images/M/MV5BMjA5MTM3MDUtOWNhNC00OWZhLWE4ZjYtZDA3ODBhMGMyMDcyXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_UX140_CR0,0,140,209_AL_.jpg","A bumbling bionic police inspector stumbles about on his cases, while his niece and dog secretly do the real investigative work. "
Count Duckula,https://www.imdb.com/title/tt0088500/,22,,1988-1993,"https://m.media-amazon.com/images/M/MV5BNGM2Nzg5ZjItNWI0YS00YjkzLTljZDAtYjU2MDU2YTkyNzJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",The misadventures of a vegetarian vampire duck and his servants. 
James the Cat,https://www.imdb.com/title/tt0813723/,5,,1984-1998,"https://m.media-amazon.com/images/M/MV5BODg3Y2JmNzItNDlmNC00MDhjLWIwNTYtOGE5MjY3MmMxMGJkXkEyXkFqcGdeQXVyODk1MzE0Mzk@._V1_UY209_CR60,0,140,209_AL_.jpg","An over-privileged fat feline is forced to live in the wild, where he befriends the forest animals. "
A Charlie Brown Christmas,https://www.imdb.com/title/tt0059026/,25,,1965 TV Movie,"https://m.media-amazon.com/images/M/MV5BMzQ3M2JhNzMtNWQ2NS00N2IxLThmYTctMzkwYzJiMThiMjI4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg","Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas. "
The Trap Door,https://www.imdb.com/title/tt0395413/,5,"Animation, Adventure, Comedy",1984-1986,"https://m.media-amazon.com/images/M/MV5BZTNiZDkwOGEtMWFjMi00YzI5LWE2YjctODExNjVlYjIxYTlhXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY209_CR4,0,140,209_AL_.jpg","3D plasticine animation, featuring Berk, a blue creature who lives as servant to the unseen 'Thing Upstairs' in an old dark house. Every time the trap door opens a new adventure begins for ... See full summary » "
Paddington Bear,https://www.imdb.com/title/tt0343288/,30,"Animation, Family",1976-1993,"https://m.media-amazon.com/images/M/MV5BMjE0NTE2NTc0Ml5BMl5BanBnXkFtZTYwNDI5OTc5._V1_UX140_CR0,0,140,209_AL_.jpg","The misadventures of a little Peruvian bear living in London, England. "
Captain Pugwash,https://www.imdb.com/title/tt0199193/,5,"Animation, Family",1957-1966,"https://m.media-amazon.com/images/M/MV5BODYyNzU0Nzc4Nl5BMl5BanBnXkFtZTcwNDYwMTYyMQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",The adventures of Captain Pugwash and his crew aboard the pirate ship - the Black Pig. 
Jackanory,https://www.imdb.com/title/tt0177448/,15,"Family, Fantasy",1965-1996,"https://m.media-amazon.com/images/M/MV5BMjEyNTQ4NTQzOF5BMl5BanBnXkFtZTcwODEwMjAzMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg","A celebrity reads a story, enhancing it in ways that will entice the most restless of children. "
Runaround,https://www.imdb.com/title/tt0320946/,,"Family, Game-Show",1975-1981,"https://m.media-amazon.com/images/M/MV5BZmFjMmUyMTUtYjgxYi00ZDgyLTljN2YtYTFiOTJkZjkyZGNkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR104,0,140,209_AL_.jpg",Children's quiz show where the kids would run to the answer then 'runaround' if they changed their minds at the last minute. 
Get Up and Go!,https://www.imdb.com/title/tt0343265/,,Family,1981-1985,"https://m.media-amazon.com/images/M/MV5BY2FiNzAwODUtZjE2Yy00M2Y3LTgyYjMtNTQ3MmY1Njk5MDg4XkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR69,0,140,209_AL_.jpg",Add a Plot 
Think Again,https://www.imdb.com/title/tt0490262/,,Family,1981-1985,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,Add a Plot 
Mr. Majeika,https://www.imdb.com/title/tt0292129/,,30 min,1988-,"https://m.media-amazon.com/images/M/MV5BMTUzNTYxNTQ2NV5BMl5BanBnXkFtZTcwMDUxNTMyMQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Add a Plot 
Wizbit,https://www.imdb.com/title/tt0367438/,,"Family, Fantasy",1986-1988,"https://m.media-amazon.com/images/M/MV5BZWZlM2I5ZDMtYzhlMy00ZGJlLWJhNzctYTVjY2JmYjEwMGIyXkEyXkFqcGdeQXVyMzQ3MTU4Nzg@._V1_UX140_CR0,0,140,209_AL_.jpg","A magical children's series about an alien magician called Wizbit who comes to Earth for a year and a day to learn all about our planet. Wizbit, a giant yellow magicians hat, mainly solved puzzles in the city of Puzzleopolis. "
Why Don't You Just Switch Off Your Television Set and Go and Do Something Less Boring Instead?,https://www.imdb.com/title/tt0266205/,15,Family,1973-1995,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,Add a Plot 
Tiswas,https://www.imdb.com/title/tt0071061/,110,Family,1974-1982,"https://m.media-amazon.com/images/M/MV5BY2Q2Yjg2NzAtMWFiZC00MmQ0LTkyN2QtMGIxNzk1M2YxNjc2XkEyXkFqcGdeQXVyNTgwNTk5MDU@._V1_UY209_CR3,0,140,209_AL_.jpg","Anarchic Saturday morning children's fare which starred Chris Tarrant, Sally James, John Gorman, Lenny Henry, Bob Carolgees, and Sylvester McCoy. "
Going Live!,https://www.imdb.com/title/tt0181922/,192,Family,1987-1993,"https://m.media-amazon.com/images/M/MV5BNWU2ODJjNzAtMzA3ZS00NzM5LThlNzctY2NmOWI2ZWU1ZjczXkEyXkFqcGdeQXVyMjU0MzY0MjE@._V1_UY209_CR115,0,140,209_AL_.jpg","Children's Saturday morning magazine/variety show featuring cartoons, sketches, games, music videos, special guests and features. "
Catweazle,https://www.imdb.com/title/tt0063881/,30,"Adventure, Comedy, Family",1970-1971,"https://m.media-amazon.com/images/M/MV5BMjI5NzM1Y2ItNTU5Ni00NjQwLWE3MGItNjU3ZTFjZDYxMDY3XkEyXkFqcGdeQXVyNjg1NzcwODE@._V1_UY209_CR3,0,140,209_AL_.jpg",A medieval wizard (though not a very good one) is transported to the modern age. 
Worzel Gummidge,https://www.imdb.com/title/tt0078713/,60,"Family, Comedy, Drama",1979-1981,"https://m.media-amazon.com/images/M/MV5BNThkMDkyYjUtODdmNS00NGI1LThlMjctM2Q2NWNjNjE1MDkzXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_UY209_CR8,0,140,209_AL_.jpg","Children's series about the adventures of Worzel Gummidge (Jon Pertwee), a scarecrow who comes to life. "
Super Gran,https://www.imdb.com/title/tt0134264/,60,"Comedy, Crime, Family",1985-1987,"https://m.media-amazon.com/images/M/MV5BNjgwY2JlNDMtZjc4NS00ZWJjLWEyZWQtOWQ4Y2QwNmU3M2ZiXkEyXkFqcGdeQXVyMjM2ODYwMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg",The adventures of a super-powered granny who fights crime in her community. 
The Littlest Hobo,https://www.imdb.com/title/tt0078644/,,"Adventure, Drama, Family",1979-1985,"https://m.media-amazon.com/images/M/MV5BYmQ3ZjkwM2EtMDhkMi00Y2M5LTk3NzYtYWU3YjEyNWU2Y2JhXkEyXkFqcGdeQXVyNjE4OTY3NTg@._V1_UY209_CR4,0,140,209_AL_.jpg",The wandering adventures of an intelligent German shepherd dog. 
Rolf's Cartoon Club,https://www.imdb.com/title/tt0180381/,,"Animation, Comedy, Family",1988-1992,"https://m.media-amazon.com/images/M/MV5BNWZkMTBiM2EtNGFmMi00YmNlLTlkNjktZjViZmVmZDc1ZDk0XkEyXkFqcGdeQXVyMzY2ODUzMjA@._V1_UY209_CR1,0,140,209_AL_.jpg",Add a Plot 
The Smurfs,https://www.imdb.com/title/tt0081933/,30,,1981-1989,"https://m.media-amazon.com/images/M/MV5BZDE3YjY5MzEtYzJlYS00ZjgyLWIzYWUtZmU4Mjk4Y2JhOTQwXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY209_CR1,0,140,209_AL_.jpg","The Smurfs are tiny blue creatures that live in mushroom houses in a peaceful forest. They repeatedly try to outwit Gargamel, an evil sorcerer, his apprentice, Scruple, and his mangy cat, Azrael. "
Wacaday,https://www.imdb.com/title/tt0862635/,30,Family,1985-1992,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png,Add a Plot 
D'Artacan y los tres mosqueperros,https://www.imdb.com/title/tt0083780/,24,"Animation, Adventure, Comedy",1981-1982,"https://m.media-amazon.com/images/M/MV5BYzViZDg3Y2ItMTZkZS00MDliLTkyNzYtZDdiZTY5ZTBkZmExXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY209_CR2,0,140,209_AL_.jpg","In 17th century France, young Dogtanian travels to Paris to fulfill his ambition to become one of the King's Musketeers. He befriends Athos, Porthos and Aramis and falls in love with Juliette. A doggy version of the tale. "